Tanggal,Data Inflasi,Data BI Rate,Data Kurs
2010-01-01,0.0372,0.065,9350
2010-02-01,0.0381,0.065,9337
2010-03-01,0.0343,0.065,9090
2010-04-01,0.0391,0.065,9012.5
2010-05-01,0.0416,0.065,9175
2010-06-01,0.0505,0.065,9060
2010-07-01,0.0622,0.065,8940
2010-08-01,0.0644,0.065,9035
2010-09-01,0.058,0.065,8925
2010-10-01,0.0567,0.065,8935
2010-11-01,0.0633,0.065,9029
2010-12-01,0.0696,0.065,9005
2011-01-01,0.0702,0.065,9043
2011-02-01,0.0684,0.0675,8818
2011-03-01,0.0665,0.0675,8705
2011-04-01,0.0616,0.0675,8563
2011-05-01,0.05980000000000001,0.0675,8532
2011-06-01,0.0554,0.0675,8573
2011-07-01,0.0461,0.0675,8495
2011-08-01,0.0479,0.0675,8528
2011-09-01,0.0461,0.0675,8780
2011-10-01,0.0442,0.065,8850
2011-11-01,0.0415,0.06,9105
2011-12-01,0.0379,0.06,9060
2012-01-01,0.0365,0.06,8980
2012-02-01,0.0356,0.0575,9010
2012-03-01,0.0397,0.0575,9139
2012-04-01,0.045,0.0575,9188
2012-05-01,0.0445,0.0575,9390
2012-06-01,0.0453,0.0575,9385
2012-07-01,0.04559999999999999,0.0575,9440
2012-08-01,0.0458,0.0575,9530
2012-09-01,0.0431,0.0575,9565
2012-10-01,0.0461,0.0575,9600
2012-11-01,0.0432,0.0575,9588
2012-12-01,0.043,0.0575,9630
2013-01-01,0.0457,0.0575,9690
2013-02-01,0.05309999999999999,0.0575,9660
2013-03-01,0.059,0.0575,9715
2013-04-01,0.0557,0.0575,9720
2013-05-01,0.0547,0.0575,9790
2013-06-01,0.059,0.06,9920
2013-07-01,0.0861,0.065,10270
2013-08-01,0.08789999999999999,0.07,10910
2013-09-01,0.084,0.0725,11570
2013-10-01,0.0832,0.0725,11265
2013-11-01,0.0837,0.075,11955
2013-12-01,0.08380000000000001,0.075,12160
2014-01-01,0.08220000000000001,0.075,12205
2014-02-01,0.0775,0.075,11604
2014-03-01,0.0732,0.075,11355
2014-04-01,0.0725,0.075,11558
2014-05-01,0.0732,0.075,11670
2014-06-01,0.067,0.075,11845
2014-07-01,0.0453,0.075,11575
2014-08-01,0.0399,0.075,11685
2014-09-01,0.0453,0.075,12180
2014-10-01,0.0483,0.075,12080
2014-11-01,0.0623,0.0775,12199
2014-12-01,0.0836,0.0775,12380
2015-01-01,0.0696,0.0775,12665
2015-02-01,0.0629,0.075,12920
2015-03-01,0.0638,0.075,13070
2015-04-01,0.0679,0.075,12960
2015-05-01,0.07150000000000001,0.075,13223
2015-06-01,0.0726,0.075,13330
2015-07-01,0.0726,0.075,13525
2015-08-01,0.0718,0.075,14045
2015-09-01,0.0683,0.075,14645
2015-10-01,0.0625,0.075,13675
2015-11-01,0.0489,0.075,13830
2015-12-01,0.0335,0.075,13785
2016-01-01,0.0414,0.0725,13770
2016-02-01,0.0442,0.07,13367
2016-03-01,0.0445,0.0675,13255
2016-04-01,0.036,0.0675,13180
2016-05-01,0.0333,0.0675,13655
2016-06-01,0.0345,0.065,13210
2016-07-01,0.0321,0.065,13097
2016-08-01,0.0279,0.0525,13265
2016-09-01,0.0307,0.05,13047
2016-10-01,0.0331,0.0475,13047
2016-11-01,0.0358,0.0475,13550
2016-12-01,0.0302,0.0475,13470
2017-01-01,0.0349,0.0475,13347
2017-02-01,0.0383,0.0475,13331
2017-03-01,0.0361,0.0475,13323
2017-04-01,0.0417,0.0475,13327
2017-05-01,0.0433,0.0475,13321
2017-06-01,0.0437,0.0475,13325
2017-07-01,0.0388,0.0475,13324
2017-08-01,0.0382,0.045,13342
2017-09-01,0.0372,0.0425,13470
2017-10-01,0.0358,0.0425,13560
2017-11-01,0.033,0.0425,13524
2017-12-01,0.0361,0.0425,13565
2018-01-01,0.0325,0.0425,13387
2018-02-01,0.0318,0.0425,13740
2018-03-01,0.034,0.0425,13760
2018-04-01,0.0341,0.0425,13910
2018-05-01,0.0323,0.0475,13890
2018-06-01,0.0312,0.0525,14325
2018-07-01,0.0318,0.0525,14415
2018-08-01,0.032,0.055,14725
2018-09-01,0.0288,0.0575,14900
2018-10-01,0.0316,0.0575,15200
2018-11-01,0.0323,0.06,14300
2018-12-01,0.0313,0.06,14375
2019-01-01,0.0282,0.06,13970
2019-02-01,0.0257,0.06,14060
2019-03-01,0.0248,0.06,14235
2019-04-01,0.0283,0.06,14245
2019-05-01,0.0332,0.06,14270
2019-06-01,0.0328,0.06,14125
2019-07-01,0.0332,0.0575,14012
2019-08-01,0.0349,0.055,14180
2019-09-01,0.0339,0.0525,14190
2019-10-01,0.0313,0.05,14032
2019-11-01,0.03,0.05,14100
2019-12-01,0.0272,0.05,13880
2020-01-01,0.0268,0.05,13650
2020-02-01,0.0298,0.0475,14340
2020-03-01,0.0296,0.045,16300
2020-04-01,0.0267,0.045,14825
2020-05-01,0.0219,0.045,14575
2020-06-01,0.0196,0.0425,14180
2020-07-01,0.0154,0.04,14530
2020-08-01,0.0132,0.04,14560
2020-09-01,0.0142,0.04,14840
2020-10-01,0.0144,0.04,14620
2020-11-01,0.0159,0.0375,14090
2020-12-01,0.0168,0.0375,14040
2021-01-01,0.0155,0.0375,14020
2021-02-01,0.0138,0.035,14240
2021-03-01,0.0137,0.035,14520
2021-04-01,0.0142,0.035,14440
2021-05-01,0.0168,0.035,14275
2021-06-01,0.0133,0.035,14495
2021-07-01,0.0152,0.035,14460
2021-08-01,0.0159,0.035,14265
2021-09-01,0.016,0.035,14310
2021-10-01,0.0166,0.035,14165
2021-11-01,0.0175,0.035,14320
2021-12-01,0.0187,0.035,14250
2022-01-01,0.0218,0.035,14380
2022-02-01,0.0206,0.035,14365
2022-03-01,0.0264,0.035,14368
2022-04-01,0.0347,0.035,14495
2022-05-01,0.0355,0.035,14580
2022-06-01,0.0435,0.035,14895
2022-07-01,0.04940000000000001,0.035,14830
2022-08-01,0.0469,0.0375,14840
2022-09-01,0.0595,0.0425,15225
2022-10-01,0.0571,0.0475,15595
2022-11-01,0.0542,0.0525,15730
2022-12-01,0.0551,0.055,15565
2023-01-01,0.0528,0.0575,14985
2023-02-01,0.0547,0.0575,15245
2023-03-01,0.04969999999999999,0.0575,14990
2023-04-01,0.0433,0.0575,14665
2023-05-01,0.04,0.0575,14985
2023-06-01,0.0352,0.0575,14990
2023-07-01,0.0308,0.0575,15075
2023-08-01,0.0327,0.0575,15225
2023-09-01,0.0228,0.0575,15450
2023-10-01,0.0256,0.06,15880
2023-11-01,0.0286,0.06,15505
2023-12-01,0.0261,0.06,15395
2024-01-01,0.0257,0.06,15775
2024-02-01,0.0275,0.06,15710
2024-03-01,0.0305,0.06,15850
2024-04-01,0.03,0.0625,16255
2024-05-01,0.0284,0.0625,16245
2024-06-01,0.0251,0.0625,16370
2024-07-01,0.0213,0.0625,16255
2024-08-01,0.0212,0.0625,15450
2024-09-01,0.0184,0.06,15135
2024-10-01,0.0171,0.06,15690
2024-11-01,0.0155,0.06,15840
2024-12-01,0.0157,0.06,16090
